INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	SMILES
Niclosamide	Expert Validated Synonym	DTXSID7040362	5-Chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide	50-65-7	OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=C(C=C1Cl)[N+]([O-])=O
Diniconazole	Approved Name	DTXSID2040363	Diniconazole	83657-24-3	CC(C)(C)C(O)C(=C/C1=C(Cl)C=C(Cl)C=C1)\N1C=NC=N1
Fenaminosulf	Approved Name	DTXSID6040371	Fenaminosulf	140-56-7	[Na+].CN(C)C1=CC=C(C=C1)N=NS([O-])(=O)=O
Epoxiconazole	Approved Name	DTXSID1040372	Epoxiconazole	133855-98-8	FC1=CC=C(C=C1)C1(CN2C=NC=N2)OC1C1=C(Cl)C=CC=C1
Forskolin	Expert Validated Synonym	DTXSID8040484	Colforsin	66575-29-9	[H][C@@]12[C@H](O)[C@H](OC(C)=O)[C@@]3(C)O[C@](C)(CC(=O)[C@]3(O)[C@@]1(C)[C@@H](O)CCC2(C)C)C=C
Silwet L77	Integrated Source Name	DTXSID1040611	Silwet L 77	27306-78-1	-
Butyl benzoate	Approved Name	DTXSID8040694	Butyl benzoate	136-60-7	CCCCOC(=O)C1=CC=CC=C1
Trimethoxyphenylsilane	Approved Name	DTXSID5040700	Trimethoxyphenylsilane	2996-92-1	CO[Si](OC)(OC)C1=CC=CC=C1
Triethyl citrate	Approved Name	DTXSID0040701	Triethyl citrate	77-93-0	CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
4-Pentylaniline	Approved Name	DTXSID0040707	4-Pentylaniline	33228-44-3	CCCCCC1=CC=C(N)C=C1
4-Hexylaniline	Approved Name	DTXSID5040708	4-Hexylaniline	33228-45-4	CCCCCCC1=CC=C(N)C=C1
Octamethyltrisiloxane	Approved Name	DTXSID9040710	Octamethyltrisiloxane	107-51-7	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
Ethyl 2-methylbenzoate	Approved Name	DTXSID4040711	Ethyl 2-methylbenzoate	87-24-1	CCOC(=O)C1=C(C)C=CC=C1
Octyl gallate	Approved Name	DTXSID4040713	Octyl gallate	1034-01-1	CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1
4-(2-Methylbutan-2-yl)cyclohexanol	Approved Name	DTXSID9040716	4-(2-Methylbutan-2-yl)cyclohexanol	5349-51-9	CCC(C)(C)C1CCC(O)CC1
4-Cyclohexylcyclohexanone	Approved Name	DTXSID8040721	4-Cyclohexylcyclohexanone	92-68-2	O=C1CCC(CC1)C1CCCCC1
4-Cyclohexylcyclohexanol	Approved Name	DTXSID3040722	4-Cyclohexylcyclohexanol	2433-14-9	OC1CCC(CC1)C1CCCCC1
Diisopropyl phthalate	Approved Name	DTXSID2040731	Diisopropyl phthalate	605-45-8	CC(C)OC(=O)C1=CC=CC=C1C(=O)OC(C)C
Triamcinolone	Approved Name	DTXSID1040742	Triamcinolone	124-94-7	C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO
17alpha-Hydroxyprogesterone	Approved Name	DTXSID6040747	17alpha-Hydroxyprogesterone	68-96-2	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
Terpineol	Approved Name	DTXSID8040775	Terpineol	8000-41-7	-
Morin hydrate	Approved Name	DTXSID3040776	Morin hydrate	654055-01-3	O.O.OC1=CC(O)=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O
2-tert-Butyl-4-methoxyphenol	Approved Name	DTXSID7040788	2-tert-Butyl-4-methoxyphenol	121-00-6	COC1=CC=C(O)C(=C1)C(C)(C)C
Pyridoxine hydrochloride	Approved Name	DTXSID1040792	Pyridoxine hydrochloride	58-56-0	Cl.CC1=NC=C(CO)C(CO)=C1O
Sodium 2-phenylphenate tetrahydrate	Approved Name	DTXSID1040794	Sodium 2-phenylphenate tetrahydrate	6152-33-6	O.O.O.O.[Na+].[O-]C1=C(C=CC=C1)C1=CC=CC=C1
Chloramine-T trihydrate	Approved Name	DTXSID6040795	Chloramine-T trihydrate	7080-50-4	O.O.O.[Na+].CC1=CC=C(C=C1)S(=O)(=O)[N-]Cl
PK 11195	Synonym	DTXSID7041097	1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide	85532-75-8	CCC(C)N(C)C(=O)C1=CC2=C(C=CC=C2)C(=N1)C1=CC=CC=C1Cl
Sodium iodide	Approved Name	DTXSID2041125	Sodium iodide	7681-82-5	[Na+].[I-]
TNP-470	Integrated Source Name	DTXSID0041141	o-(Chloroacetylcarbamoyl)fumagillol	129298-91-5	CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C)OC(=O)NC(=O)CCl
(-)-beta-Pinene	Approved Name	DTXSID1041184	(-)-beta-Pinene	18172-67-3	CC1(C)[C@@H]2C[C@H]1C(=C)CC2
(2-Nitro-1-propenyl)benzene	Approved Name	DTXSID1041188	(2-Nitro-1-propenyl)benzene	705-60-2	CC(=CC1=CC=CC=C1)[N+]([O-])=O
N,N'-Disalicylidene-1,2-diaminopropane	Approved Name	DTXSID2041200	N,N'-Disalicylidene-1,2-diaminopropane	94-91-7	CC(C\N=C\C1=CC=CC=C1O)\N=C\C1=CC=CC=C1O
Decyl beta-D-glucopyranoside	Approved Name	DTXSID2041208	Decyl beta-D-glucopyranoside	58846-77-8	CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
gamma-Terpinene	Approved Name	DTXSID6041210	gamma-Terpinene	99-85-4	CC(C)C1=CCC(C)=CC1
1,3,5-Triisopropylbenzene	Approved Name	DTXSID4041232	1,3,5-Triisopropylbenzene	717-74-8	CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C
alpha-Terpinene	Approved Name	DTXSID9041237	alpha-Terpinene	99-86-5	CC(C)C1=CC=C(C)CC1
1,3-Diphenyl-1,3-propanedione	Approved Name	DTXSID3041247	1,3-Diphenyl-1,3-propanedione	120-46-7	O=C(CC(=O)C1=CC=CC=C1)C1=CC=CC=C1
2,5-Di-tert-butylbenzene-1,4-diol	Approved Name	DTXSID8041248	2,5-Di-tert-butylbenzene-1,4-diol	88-58-4	CC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)C
1,4-Bis(N-isopropylamino)anthraquinone	Approved Name	DTXSID2041250	1,4-Bis(N-isopropylamino)anthraquinone	14233-37-5	CC(C)NC1=CC=C(NC(C)C)C2=C1C(=O)C1=CC=CC=C1C2=O
1,4-Diaminoanthraquinone	Approved Name	DTXSID2041252	1,4-Diaminoanthraquinone	128-95-0	NC1=CC=C(N)C2=C1C(=O)C1=CC=CC=C1C2=O
2-Hexyl-1-decanol	Approved Name	DTXSID1041265	2-Hexyl-1-decanol	2425-77-6	CCCCCCCCC(CO)CCCCCC
1-Ethoxy-2-propanol	Approved Name	DTXSID1041267	1-Ethoxy-2-propanol	1569-02-4	CCOCC(C)O
3,5,5-Trimethylhexyl acetate	Approved Name	DTXSID0041270	3,5,5-Trimethylhexyl acetate	58430-94-7	CC(CCOC(C)=O)CC(C)(C)C
1H-Pyrazole-3-carboxylic acid, 4,5-dihydro-5-oxo-1-(4-sulfophenyl)	NO_MATCH	-	-	-	-
1-Phenyl-1H-pyrrole-2,5-dione	Approved Name	DTXSID0041274	1-Phenyl-1H-pyrrole-2,5-dione	941-69-5	O=C1C=CC(=O)N1C1=CC=CC=C1
1-Monolaurin	Approved Name	DTXSID5041275	1-Monolaurin	142-18-7	CCCCCCCCCCCC(=O)OCC(O)CO
Myristyltrimethylammonium chlorideN,N,N-Trimethyltetradecan-1-aminium chloride	Approved Name	DTXSID9041289	Myristyltrimethylammonium chlorideN,N,N-Trimethyltetradecan-1-aminium chloride	4574-04-3	[Cl-].CCCCCCCCCCCCCC[N+](C)(C)C
2-((Dimethylamino)methyl)phenol	Approved Name	DTXSID3041293	2-((Dimethylamino)methyl)phenol	120-65-0	CN(C)CC1=CC=CC=C1O
gamma-Caprolactone	Approved Name	DTXSID8041298	gamma-Caprolactone	695-06-7	CCC1CCC(=O)O1
2(3H)-Furanone, 5-hexyldihydro-5-methyl	NO_MATCH	-	-	-	-
2-(Dihydrocyclopentadienyloxy)ethyl methacrylate	Integrated Source Name	DTXSID5041302	(Dicyclopentadienyloxy)ethyl methacrylate	68169-03-9	CC(=C)C(=O)OCCO*.C1CC2CC1C1CC=CC21 |c:17,lp:4:2,5:2,8:2,m:9:11.10|
2,2',4,4'-Tetrahydroxybenzophenone	Approved Name	DTXSID5041306	2,2',4,4'-Tetrahydroxybenzophenone	131-55-5	OC1=CC(O)=C(C=C1)C(=O)C1=CC=C(O)C=C1O
2,4-D-ethyl ester	Approved Name	DTXSID1041346	2,4-D-ethyl ester	533-23-3	CCOC(=O)COC1=C(Cl)C=C(Cl)C=C1
Ethyl (2E,4Z)-deca-2,4-dienoate	Approved Name	DTXSID0041357	Ethyl (2E,4Z)-deca-2,4-dienoate	3025-30-7	CCCCC\C=C/C=C/C(=O)OCC
5-Ethyl-5-methylhydantoin	Approved Name	DTXSID9041368	5-Ethyl-5-methylhydantoin	5394-36-5	CCC1(C)NC(=O)NC1=O
Tridemorph	Approved Name	DTXSID3041376	Tridemorph	24602-86-6	CCCCCCCCCCCCCN1CC(C)OC(C)C1
2,6-Di-tert-butyl-4-methoxyphenol	Approved Name	DTXSID8041379	2,6-Di-tert-butyl-4-methoxyphenol	489-01-0	COC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
2'-Acetonaphthone	Approved Name	DTXSID2041389	2'-Acetonaphthone	93-08-3	CC(=O)C1=CC2=CC=CC=C2C=C1
2-Chloro-N-phenylacetamide	Approved Name	DTXSID3041409	2-Chloro-N-phenylacetamide	587-65-5	ClCC(=O)NC1=CC=CC=C1
R-(-)-Carvone	Approved Name	DTXSID7041413	R-(-)-Carvone	6485-40-1	CC(=C)[C@@H]1CC=C(C)C(=O)C1
5,7-Dimethoxy-2H-chromen-2-one	Approved Name	DTXSID1041421	5,7-Dimethoxy-2H-chromen-2-one	487-06-9	COC1=CC2=C(C=CC(=O)O2)C(OC)=C1
7-(Dimethylamino)-4-methylcoumarin	Approved Name	DTXSID6041422	7-(Dimethylamino)-4-methylcoumarin	87-01-4	CN(C)C1=CC2=C(C=C1)C(C)=CC(=O)O2
2,6-Dimethyl-2-heptanol	Approved Name	DTXSID6041424	2,6-Dimethyl-2-heptanol	13254-34-7	CC(C)CCCC(C)(C)O
(2E)-2-Hexenal	Approved Name	DTXSID1041425	(2E)-2-Hexenal	6728-26-3	CCC\C=C\C=O
3,4-Dihydro-2H-pyran	Approved Name	DTXSID6041426	3,4-Dihydro-2H-pyran	110-87-2	C1COC=CC1
2-Methylbutyl isovalerate	Approved Name	DTXSID4041440	2-Methylbutyl isovalerate	2445-77-4	CCC(C)COC(=O)CC(C)C
Sodium 2-naphthalenesulfonate	Approved Name	DTXSID4041442	Sodium 2-naphthalenesulfonate	532-02-5	[Na+].[O-]S(=O)(=O)C1=CC2=C(C=CC=C2)C=C1
3,5-Dimethyl-1-hexyn-3-ol	Approved Name	DTXSID6041472	3,5-Dimethyl-1-hexyn-3-ol	107-54-0	CC(C)CC(C)(O)C#C
(3Z)-3-Hexenyl acetate	Approved Name	DTXSID0041484	(3Z)-3-Hexenyl acetate	3681-71-8	CC\C=C/CCOC(C)=O
3,7-Dimethyloctan-3-yl acetate	Approved Name	DTXSID5041487	3,7-Dimethyloctan-3-yl acetate	20780-48-7	CCC(C)(CCCC(C)C)OC(C)=O
3-Phenyl-2-propen-1-ol	Approved Name	DTXSID9041491	3-Phenyl-2-propen-1-ol	104-54-1	OCC=CC1=CC=CC=C1
3-Phenylhexane	Approved Name	DTXSID4041492	3-Phenylhexane	4468-42-2	CCCC(CC)C1=CC=CC=C1
4-Chlorophenylurea	Approved Name	DTXSID5041512	4-Chlorophenylurea	140-38-5	NC(=O)NC1=CC=C(Cl)C=C1
(4Z)-4-Decenal	Approved Name	DTXSID5041514	(4Z)-4-Decenal	21662-09-9	CCCCC\C=C/CCC=O
2-Ethyl-3-hydroxy-4H-pyran-4-one	Expert Validated Synonym	DTXSID5041516	2-Ethyl-3-hydroxy-4-pyrone	4940-11-8	CCC1=C(O)C(=O)C=CO1
4-Morpholinepropanamine	Approved Name	DTXSID4041521	4-Morpholinepropanamine	123-00-2	NCCCN1CCOCC1
7-Ethyl-2-methyl-4-undecanolsulfate, sodium salt	Approved Name	DTXSID3041530	7-Ethyl-2-methyl-4-undecanolsulfate, sodium salt	139-88-8	[Na+].CCCCC(CC)CCC(CC(C)C)OS([O-])(=O)=O
6-Acetyl-1,1,2,4,4,7-hexamethyltetralin	Expert Validated Synonym	DTXSID7041544	7-Acetyl-1,1,3,4,4,6-hexamethyltetraline	21145-77-7	CC1CC(C)(C)C2=C(C=C(C)C(=C2)C(C)=O)C1(C)C
(S)-(-)-beta-Citronellol	Approved Name	DTXSID1041550	(S)-(-)-beta-Citronellol	7540-51-4	C[C@H](CCO)CCC=C(C)C
7-Octen-2-ol, 2-methyl-6-methylene-, dihydro deriv	NO_MATCH	-	-	-	-
9-Octadecenoic acid, 12-hydroxy-, (9Z,12R)	NO_MATCH	-	-	-	-
Pentyl butyrate	Expert Validated Synonym	DTXSID4041604	n-Amyl butyrate	540-18-1	CCCCCOC(=O)CCC
Arabinose	Approved Name	DTXSID8041610	Arabinose	147-81-9	OC[C@@H](O)[C@@H](O)[C@H](O)C=O
Ascorbyl palmitate	Approved Name	DTXSID3041611	Ascorbyl palmitate	137-66-6	CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(O)=C1O
Benodanil	Approved Name	DTXSID7041623	Benodanil	15310-01-7	IC1=C(C=CC=C1)C(=O)NC1=CC=CC=C1
Benzenemethanol, alpha-methyl-, acetate	Expert Validated Synonym	DTXSID6041636	(+/-)-alpha-Methylbenzyl acetate	93-92-5	CC(OC(C)=O)C1=CC=CC=C1
Benzenesulfonic acid, 2,4-dimethyl-, sodium salt	Integrated Source Name	DTXSID1041639	Sodium m-xylene-4-sulfonate	827-21-4	[Na+].CC1=CC=C(C(C)=C1)S([O-])(=O)=O
2,5-Dimethylbenzenesulfonic acid	Approved Name	DTXSID5041641	2,5-Dimethylbenzenesulfonic acid	609-54-1	CC1=CC=C(C)C(=C1)S(O)(=O)=O
Sodium 2-formylbenzenesulfonate	Approved Name	DTXSID5041643	Sodium 2-formylbenzenesulfonate	1008-72-6	[Na+].[O-]S(=O)(=O)C1=CC=CC=C1C=O
C.I. Acid Yellow 34, monosodium salt	Approved Name	DTXSID0041646	C.I. Acid Yellow 34, monosodium salt	6359-90-6	[Na+].CC1=NN(C(=O)C1\N=N\C1=CC=CC=C1)C1=CC(=CC=C1Cl)S([O-])(=O)=O
Methyl 2,4-dihydroxy-3,6-dimethylbenzoate	Expert Validated Synonym	DTXSID9041653	Methyl 3-methylorsellinate	4707-47-5	COC(=O)C1=C(O)C(C)=C(O)C=C1C
Benzonitrile, 2-hydroxy	NO_MATCH	-	-	-	-
Benzyl cinnamate	Approved Name	DTXSID3041663	Benzyl cinnamate	103-41-3	O=C(OCC1=CC=CC=C1)C=CC1=CC=CC=C1
Bornyl acetate	Approved Name	DTXSID7041675	Bornyl acetate	76-49-3	CC(=O)O[C@@H]1CC2CCC1(C)C2(C)C
Bromophenol blue	Approved Name	DTXSID6041682	Bromophenol blue	115-39-9	OC1=C(Br)C=C(C=C1Br)C1(OS(=O)(=O)C2=C1C=CC=C2)C1=CC(Br)=C(O)C(Br)=C1
Butam	Approved Name	DTXSID5041691	Butam	35256-85-0	CC(C)N(CC1=CC=CC=C1)C(=O)C(C)(C)C
Butylnaphthalenesulfonic acid sodium salt	Approved Name	DTXSID2041703	Butylnaphthalenesulfonic acid sodium salt	25638-17-9	-
C.I. Acid Orange 24, monosodium salt	Approved Name	DTXSID7041708	C.I. Acid Orange 24, monosodium salt	1320-07-6	[Na+].CC1=CC=C(N=NC2=C(O)C=CC(N=NC3=CC=C(C=C3)S([O-])(=O)=O)=C2O)C(C)=C1
C.I. Acid Orange 8, monosodium salt	Approved Name	DTXSID2041709	C.I. Acid Orange 8, monosodium salt	5850-86-2	[Na+].CC1=C(C=CC(=C1)S([O-])(=O)=O)\N=N\C1=C(O)C=CC2=CC=CC=C12
C.I. Acid Violet 12, disodium salt	Approved Name	DTXSID6041715	C.I. Acid Violet 12, disodium salt	6625-46-3	[Na+].[Na+].COC1=CC=CC=C1\N=N\C1=C(C=C2C=C(C=C(NC(C)=O)C2=C1O)S([O-])(=O)=O)S([O-])(=O)=O
C.I. Acid Yellow 17, disodium salt	Approved Name	DTXSID6041719	C.I. Acid Yellow 17, disodium salt	6359-98-4	[Na+].[Na+].CC1=NN(C(=O)C1N=NC1=CC=C(C=C1)S([O-])(=O)=O)C1=CC(Cl)=C(C=C1Cl)S([O-])(=O)=O
C.I. Acid Yellow 3 disodium salt	Approved Name	DTXSID0041721	C.I. Acid Yellow 3 disodium salt	8004-92-0	-
C.I. Direct Red 81 disodium salt	Approved Name	DTXSID5041726	C.I. Direct Red 81 disodium salt	2610-11-9	[Na+].[Na+].OC1=C(N=NC2=CC=C(C=C2)N=NC2=CC=C(C=C2)S([O-])(=O)=O)C(=CC2=CC(NC(=O)C3=CC=CC=C3)=CC=C12)S([O-])(=O)=O
C.I. Direct Yellow 12	Approved Name	DTXSID5041728	C.I. Direct Yellow 12	2870-32-8	[Na+].[Na+].CCOC1=CC=C(C=C1)N=NC1=CC=C(C=CC2=CC=C(C=C2S([O-])(=O)=O)N=NC2=CC=C(OCC)C=C2)C(=C1)S([O-])(=O)=O
Citronellal	Approved Name	DTXSID3041790	Citronellal	106-23-0	CC(CCC=C(C)C)CC=O
Cloquintocet-mexyl	Approved Name	DTXSID3041794	Cloquintocet-mexyl	99607-70-2	CCCCCC(C)OC(=O)COC1=CC=C(Cl)C2=CC=CN=C12
3,3,5-Trimethylcyclohexanol	Approved Name	DTXSID9041815	3,3,5-Trimethylcyclohexanol	116-02-9	CC1CC(O)CC(C)(C)C1
2-sec-Butylcyclohexanone	Expert Validated Synonym	DTXSID4041818	2-sec-Butylcyclohexan-1-one	14765-30-1	CCC(C)C1CCCCC1=O
Dibutyl decanedioate	Approved Name	DTXSID1041847	Dibutyl decanedioate	109-43-3	CCCCOC(=O)CCCCCCCCC(=O)OCCCC
Diethyl phosphite	Approved Name	DTXSID9041861	Diethyl phosphite	762-04-9	CCOP(O)OCC
Dimethylbenzylcarbinyl acetate	Approved Name	DTXSID3041877	Dimethylbenzylcarbinyl acetate	151-05-3	CC(=O)OC(C)(C)CC1=CC=CC=C1
Diphenyl phosphite	Approved Name	DTXSID7041889	Diphenyl phosphite	4712-55-4	O=P(OC1=CC=CC=C1)OC1=CC=CC=C1
Diphenylmethane	Approved Name	DTXSID1041891	Diphenylmethane	101-81-5	C(C1=CC=CC=C1)C1=CC=CC=C1
Dysprosium(III) chloride	Approved Name	DTXSID8041909	Dysprosium(III) chloride	10025-74-8	[Cl-].[Cl-].[Cl-].[Dy+3]
2-(2-Ethylhexyloxy)ethanol	Approved Name	DTXSID1041920	2-(2-Ethylhexyloxy)ethanol	1559-35-9	CCCCC(CC)COCCO
3-Octanone	Approved Name	DTXSID3041954	3-Octanone	106-68-3	CCCCCC(=O)CC
Ethyl diethanolamine	Approved Name	DTXSID8041955	Ethyl diethanolamine	139-87-7	CCN(CCO)CCO
Ethyl orthoformate	Approved Name	DTXSID8041957	Ethyl orthoformate	122-51-0	CCOC(OCC)OCC
Ethyltriethoxysilane	Approved Name	DTXSID7041962	Ethyltriethoxysilane	78-07-9	CCO[Si](CC)(OCC)OCC
Fenchol	Approved Name	DTXSID1041970	Fenchol	1632-73-1	CC1(C)C2CCC(C)(C2)C1O
Flufenoxuron	Approved Name	DTXSID1041978	Flufenoxuron	101463-69-8	FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=C(F)C=C(OC2=C(Cl)C=C(C=C2)C(F)(F)F)C=C1
Fluoroacetic acid	Integrated Source Name	DTXSID0041981	Fluoroacetic acid	144-49-0	OC(=O)CF
Glyceryl monoricinoleate	Approved Name	DTXSID3042007	Glyceryl monoricinoleate	1323-38-2	-
N-Dodecanoyl-N-methylglycine	Approved Name	DTXSID7042011	N-Dodecanoyl-N-methylglycine	97-78-9	CCCCCCCCCCCC(=O)N(C)CC(O)=O
Heptyl butanoate	Expert Validated Synonym	DTXSID0042038	Heptyl butyrate	5870-93-9	CCCCCCCOC(=O)CCC
Indene	Approved Name	DTXSID8042052	Indene	95-13-6	C1C=CC2=C1C=CC=C2
Isopentyl butyrate	Approved Name	DTXSID3042059	Isopentyl butyrate	106-27-4	CCCC(=O)OCCC(C)C
Isoborneol	Integrated Source Name	DTXSID2042060	Isoborneol	124-76-5	CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2
Isobornyl acetate	Approved Name	DTXSID7042061	Isobornyl acetate	125-12-2	CC(=O)O[C@H]1C[C@@H]2CC[C@@]1(C)C2(C)C
Isobornyl propanoate	Approved Name	DTXSID2042062	Isobornyl propanoate	2756-56-1	CCC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C
Isopropyl-o-cresol	Approved Name	DTXSID6042074	Isopropyl-o-cresol	499-75-2	CC(C)C1=CC=C(C)C(O)=C1
Laurocapram	Approved Name	DTXSID0042086	Laurocapram	59227-89-3	CCCCCCCCCCCCN1CCCCCC1=O
Levomenol	Approved Name	DTXSID4042094	Levomenol	23089-26-1	CC(C)=CCC[C@](C)(O)[C@H]1CCC(C)=CC1
L-Glucitol	Approved Name	DTXSID4042096	L-Glucitol	6706-59-8	-
Mepanipyrim	Approved Name	DTXSID4042121	Mepanipyrim	110235-47-7	CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1
Diphenylmercury(II)	Approved Name	DTXSID3042130	Diphenylmercury(II)	587-85-9	[Hg](C1=CC=CC=C1)C1=CC=CC=C1
Methyl red	Approved Name	DTXSID1042154	Methyl red	493-52-7	CN(C)C1=CC=C(C=C1)\N=N\C1=C(C=CC=C1)C(O)=O
Monopotassium phthalate	Approved Name	DTXSID0042167	Monopotassium phthalate	877-24-7	[K+].OC(=O)C1=C(C=CC=C1)C([O-])=O
Monotridecyl phosphate	Integrated Source Name	DTXSID0042169	Monotridecyl phosphate	5116-94-9	CCCCCCCCCCCCCOP(O)(O)=O
4-Dodecylmorpholine	Approved Name	DTXSID4042171	4-Dodecylmorpholine	1541-81-7	CCCCCCCCCCCCN1CCOCC1
N,N'-Dibutylthiourea	Approved Name	DTXSID8042187	N,N'-Dibutylthiourea	109-46-6	CCCCNC(=S)NCCCC
N,N-Diisopropylaniline	Approved Name	DTXSID8042189	N,N-Diisopropylaniline	4107-98-6	CC(C)N(C(C)C)C1=CC=CC=C1
N,N-Dimethyldecylamine oxide	Approved Name	DTXSID7042190	N,N-Dimethyldecylamine oxide	2605-79-0	CCCCCCCCCC[N+](C)(C)[O-]
N,N'-Dimethylthiourea	Approved Name	DTXSID2042191	N,N'-Dimethylthiourea	534-13-4	CNC(=S)NC
Butyl lactate	Approved Name	DTXSID7042196	Butyl lactate	138-22-7	CCCCOC(=O)C(C)O
N-Butyl-p-toluenesulfonamide	Approved Name	DTXSID7042198	N-Butyl-p-toluenesulfonamide	1907-65-9	CCCCNS(=O)(=O)C1=CC=C(C)C=C1
1-Dodecyl-2-pyrrolidinone	Approved Name	DTXSID4042206	1-Dodecyl-2-pyrrolidinone	2687-96-9	CCCCCCCCCCCCN1CCCC1=O
N-Methyldioctylamine	Approved Name	DTXSID9042209	N-Methyldioctylamine	4455-26-9	CCCCCCCCN(C)CCCCCCCC
Propylbenzene	Approved Name	DTXSID3042219	Propylbenzene	103-65-1	CCCC1=CC=CC=C1
7-Hydroxy-3,7-dimethyloctanal	Systematic Name	DTXSID6042232	Hydroxycitronellal	107-75-5	CC(CCCC(C)(C)O)CC=O
Octyl beta-D-glucopyranoside	Approved Name	DTXSID6042234	Octyl beta-D-glucopyranoside	29836-26-8	CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
Oleyl sarcosine	Approved Name	DTXSID5042243	Oleyl sarcosine	110-25-8	CCCCCCCC\C=C/CCCCCCCC(=O)N(C)CC(O)=O
2,4-Diisopropylphenol	Approved Name	DTXSID7042273	2,4-Diisopropylphenol	2934-05-6	CC(C)C1=CC(C(C)C)=C(O)C=C1
2-Ethoxyphenol	Systematic Name	DTXSID2042276	o-Ethoxyphenol	94-71-3	CCOC1=C(O)C=CC=C1
4-Isopropylphenol	Approved Name	DTXSID5042299	4-Isopropylphenol	99-89-8	CC(C)C1=CC=C(O)C=C1
4-Propylanisole	Approved Name	DTXSID0042325	4-Propylanisole	104-45-0	CCCC1=CC=C(OC)C=C1
Butyl (2S)-2-hydroxypropanoate	Approved Name	DTXSID4042335	Butyl (2S)-2-hydroxypropanoate	34451-19-9	CCCCOC(=O)[C@H](C)O
2-(3-Phenylpropyl)pyridine	Approved Name	DTXSID7042356	2-(3-Phenylpropyl)pyridine	2110-18-1	C(CC1=CC=CC=C1)CC1=CC=CC=N1
Rhodamine B	Approved Name	DTXSID6042369	Rhodamine B	81-88-9	[Cl-].CCN(CC)C1=CC2=[O+]C3=C(C=CC(=C3)N(CC)CC)C(=C2C=C1)C1=C(C=CC=C1)C(O)=O
Dimethoxydimethylsilane	Approved Name	DTXSID0042379	Dimethoxydimethylsilane	1112-39-6	CO[Si](C)(C)OC
Tetrapropyl orthosilicate	Approved Name	DTXSID9042382	Tetrapropyl orthosilicate	682-01-9	CCCO[Si](OCCC)(OCCC)OCCC
Sodium (2-pyridylthio)-N-oxide	Approved Name	DTXSID3042390	Sodium (2-pyridylthio)-N-oxide	3811-73-2	[Na+].[O-][N+]1=C([S-])C=CC=C1
Sodium 1-naphthalenesulfonate	Approved Name	DTXSID3042394	Sodium 1-naphthalenesulfonate	130-14-3	[Na+].[O-]S(=O)(=O)C1=CC=CC2=C1C=CC=C2
Sodium abietate	Approved Name	DTXSID8042399	Sodium abietate	14351-66-7	[Na+].CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C([O-])=O)[C@H]2CC1
Sodium hexyldecyl sulfate	Approved Name	DTXSID0042400	Sodium hexyldecyl sulfate	1120-01-0	[Na+].CCCCCCCCCCCCCCCCOS([O-])(=O)=O
Sodium methyl sulfate	Approved Name	DTXSID0042406	Sodium methyl sulfate	512-42-5	[Na+].COS([O-])(=O)=O
Sodium 4-methylbenzenesulfonate	Approved Name	DTXSID9042415	Sodium 4-methylbenzenesulfonate	657-84-1	[Na+].CC1=CC=C(C=C1)S([O-])(=O)=O
Sodium myristyl sulfate	Approved Name	DTXSID4042416	Sodium myristyl sulfate	1191-50-0	[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O
Sodium tridecyl sulfate	Approved Name	DTXSID4042418	Sodium tridecyl sulfate	3026-63-9	[Na+].CCCCCCCCCCCCCOS([O-])(=O)=O
Styrene glycol	Approved Name	DTXSID8042422	Styrene glycol	93-56-1	OCC(O)C1=CC=CC=C1
Sucrose octaacetate	Approved Name	DTXSID3042423	Sucrose octaacetate	126-14-7	CC(=O)OC[C@H]1O[C@@](COC(C)=O)(O[C@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
